URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CONTENT_LENGTH,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,APP_PACKETS,DNS_QUERY_TIMES,Type
16,7,263,7,0,2,700,9,10,9,2,1
16,6,15087,17,7,4,1230,17,19,17,0,0
16,6,324,0,0,0,0,0,0,0,0,0
17,6,162,31,22,3,3812,39,37,39,8,0
17,6,124140,57,2,5,4278,61,62,61,4,0
18,7,NA,11,6,9,894,11,13,11,0,0
18,6,345,12,0,3,1189,14,13,14,2,0
19,6,324,0,0,0,0,0,0,0,0,0
20,5,NA,0,0,0,0,2,3,2,2,1
20,5,NA,0,0,0,0,2,1,2,2,1
20,6,NA,0,0,0,0,0,0,0,0,0
20,6,324,0,0,0,0,0,0,0,0,0
20,7,13716,16,6,8,1492,20,20,20,4,0
20,6,3692,25,19,4,3946,35,29,35,10,0
20,7,13054,0,0,0,0,0,0,0,0,0
21,7,957,7,0,1,717,11,10,11,4,1
21,7,686,6,0,2,603,8,9,8,2,1
21,6,324,7,7,3,618,7,9,7,0,0
21,6,15025,13,1,5,1099,15,17,15,2,0
22,7,324,9,0,4,850,11,9,11,2,1
22,6,NA,39,29,6,3833,43,42,43,4,0
22,6,318,8,6,6,696,8,10,8,0,0
22,6,224,4,3,2,420,4,6,4,0,0
22,7,4421,12,0,2,2259,16,12,16,4,0
22,6,NA,6,0,3,650,10,10,10,4,0
22,6,441,0,0,0,0,0,0,0,0,0
22,6,NA,0,0,0,0,0,0,0,0,0
22,6,6671,0,0,0,0,0,0,0,0,0
23,6,NA,16,3,11,1696,18,20,18,2,0
23,6,434,0,0,0,0,0,0,0,0,0
23,6,324,0,0,0,0,0,0,0,0,0
23,6,13001,0,0,0,0,0,0,0,0,0
23,7,3257,0,0,0,0,0,0,0,0,0
23,6,6748,7,4,5,630,7,4,7,0,0
23,7,NA,24,5,8,1740,24,11,24,0,0
23,6,NA,19,7,6,2404,23,20,23,4,0
23,6,NA,19,14,6,1980,23,25,23,4,0
23,6,NA,4,0,1,519,8,8,8,4,0
23,6,NA,10,0,5,1186,14,15,14,4,0
23,6,NA,43,4,4,5738,47,50,47,4,0
23,6,240,8,0,2,723,10,11,10,2,0
23,6,3985,40,17,16,3285,46,45,46,6,0
23,6,324,0,0,0,0,0,0,0,0,0
24,8,6173,2,0,1,132,2,5,2,0,1
24,9,319,7,0,2,720,9,10,9,2,1
24,6,NA,84,54,5,10490,96,106,96,12,0
24,6,34,65,3,5,6286,69,75,69,4,0
24,7,NA,14,6,6,1907,18,18,18,4,0
24,6,1778,7,7,3,618,7,9,7,0,0
24,6,NA,6,3,2,528,6,4,6,0,0
24,6,324,6,4,4,564,6,8,6,0,0
24,8,224,19,2,4,2131,23,23,23,4,0
24,6,NA,12,2,7,984,16,16,16,4,0
24,7,318,21,1,8,1606,25,13,25,4,0
24,7,NA,16,6,8,2279,22,22,22,6,0
24,6,345,19,5,9,1390,21,25,21,2,0
24,6,756,23,3,15,2485,27,28,27,4,0
25,6,NA,0,0,0,0,0,0,0,0,0
25,7,NA,0,0,0,0,0,0,0,0,0
25,6,14839,0,0,0,0,0,0,0,0,0
25,6,324,5,2,4,474,5,4,5,0,0
25,6,NA,6,5,2,564,6,7,6,0,0
25,6,NA,12,0,5,1327,16,17,16,4,0
25,6,658,11,3,4,1232,15,16,15,4,0
25,6,NA,18,7,9,1586,22,17,22,4,0
25,6,NA,36,17,9,4737,42,35,42,6,0
25,6,195,0,0,0,0,0,0,0,0,0
25,6,324,0,0,0,0,0,0,0,0,0
25,6,NA,0,0,0,0,0,0,0,0,0
26,8,NA,12,0,2,1052,14,14,14,2,1
26,8,NA,9,1,2,878,11,12,11,2,1
26,7,4166,24,0,3,2508,30,30,30,6,1
26,7,962,9,0,4,842,11,12,11,2,1
26,7,962,7,0,2,722,11,10,11,4,1
26,7,962,7,0,2,722,11,9,11,4,1
26,6,2688,0,0,0,0,0,0,0,0,0
26,7,NA,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,199,0,0,0,0,0,0,0,0,0
26,6,3548,13,0,1,1378,19,19,19,6,0
26,7,NA,26,19,5,2727,30,19,30,4,0
26,6,0,43,39,3,6325,53,50,53,10,0
26,6,5426,9,7,4,702,9,10,9,0,0
26,7,NA,11,9,7,882,11,9,11,0,0
26,6,NA,4,3,2,396,4,6,4,0,0
26,6,345,43,0,2,3252,47,47,47,4,0
26,7,NA,46,12,11,3783,50,18,50,4,0
26,7,NA,21,8,9,2373,25,27,25,4,0
26,6,NA,7,0,2,984,11,12,11,4,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,324,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
26,6,NA,0,0,0,0,0,0,0,0,0
27,7,8756,38,0,3,4207,44,45,44,6,1
27,7,193,9,0,1,1838,11,13,11,2,1
27,8,NA,0,0,0,0,0,0,0,0,0
27,6,324,0,0,0,0,0,0,0,0,0
27,6,NA,3,3,1,366,3,5,3,0,0
27,6,NA,40,13,14,3781,46,44,46,6,0
27,6,7967,6,0,4,631,8,11,8,2,0
27,7,11506,0,0,0,0,0,0,0,0,0
28,9,NA,5,0,1,592,7,9,7,2,1
28,7,324,5,0,2,556,9,9,9,4,1
28,8,39036,0,0,0,0,0,0,0,0,0
28,6,NA,0,0,0,0,0,0,0,0,0
28,7,NA,0,0,0,0,0,0,0,0,0
28,7,NA,0,0,0,0,0,0,0,0,0
28,7,NA,6,4,3,552,6,8,6,0,0
28,7,NA,8,4,6,696,8,10,8,0,0
28,6,324,5,3,3,474,5,6,5,0,0
28,7,8578,21,7,5,2830,29,25,29,8,0
28,6,10576,14,9,2,2094,14,12,14,0,0
28,7,324,17,1,7,1848,23,24,23,6,0
28,7,12846,17,12,3,2314,23,27,23,6,0
28,7,6666,66,5,11,6311,70,64,70,4,0
28,6,445,28,5,8,2324,30,33,30,2,0
28,8,NA,6,0,3,632,8,8,8,2,0
28,7,324,33,26,4,3590,39,48,39,6,0
28,6,NA,0,0,0,0,0,0,0,0,0
28,6,NA,26,19,3,2632,30,36,30,4,0
28,6,18438,0,0,0,0,0,0,0,0,0
29,7,7314,34,0,2,2934,40,40,40,6,1
29,7,324,5,0,2,593,7,8,7,2,1
29,6,NA,0,0,0,0,0,0,0,0,0
29,6,0,0,0,0,0,0,0,0,0,0
29,8,9136,0,0,0,0,0,0,0,0,0
29,6,5019,0,0,0,0,0,0,0,0,0
29,7,NA,0,0,0,0,0,0,0,0,0
29,6,210,0,0,0,0,0,0,0,0,0
29,6,8654,0,0,0,0,0,0,0,0,0
29,7,238,0,0,0,0,0,0,0,0,0
29,6,26856,26,6,5,2519,30,30,30,4,0
29,6,324,12,8,6,900,12,9,12,0,0
29,7,NA,709,708,3,2362906,709,837,709,0,0
29,6,10210,5,4,2,486,5,7,5,0,0
29,6,13684,15,8,7,1134,15,9,15,0,0
29,6,324,3,3,1,366,3,5,3,0,0
29,6,770,5,3,3,486,5,7,5,0,0
29,8,6813,17,9,10,1249,17,15,17,0,0
29,6,324,34,9,6,2861,38,26,38,4,0
29,6,34,10,2,9,612,12,14,12,2,0
29,7,NA,32,21,8,4561,38,36,38,6,0
29,8,20404,33,6,5,3533,37,35,37,4,0
29,8,NA,28,0,5,3183,36,33,36,8,0
29,6,7159,21,6,11,1515,23,18,23,2,0
29,6,NA,24,1,3,2195,29,30,29,4,0
29,6,388,0,0,0,0,0,0,0,0,0
29,6,199,0,0,0,0,0,0,0,0,0
29,8,324,0,0,0,0,0,0,0,0,0
29,6,NA,0,0,0,0,0,0,0,0,0
29,6,NA,0,0,0,0,0,0,0,0,0
30,8,177,7,0,2,666,9,9,9,2,1
30,6,NA,0,0,0,0,0,0,0,0,0
30,6,199,0,0,0,0,0,0,0,0,0
30,7,NA,14,9,3,1918,18,17,18,4,0
30,6,NA,62,52,12,8974,76,69,76,14,0
30,6,NA,22,17,2,3914,28,27,28,6,0
30,6,NA,18,17,5,1188,18,19,18,0,0
30,6,NA,6,4,4,552,6,9,6,0,0
30,6,14703,2,2,1,276,2,4,2,0,0
30,6,8751,15,2,6,1528,19,17,19,4,0
30,6,324,90,6,14,8646,92,100,92,2,0
30,7,NA,31,26,2,4412,37,37,37,6,0
30,6,NA,31,23,3,3605,39,41,39,8,0
30,6,NA,76,47,12,9007,88,44,88,12,0
30,7,350,23,1,10,1902,27,26,27,4,0
30,7,NA,48,3,6,3418,52,48,52,4,0
30,8,NA,0,0,0,0,0,0,0,0,0
30,6,NA,0,0,0,0,0,0,0,0,0
30,7,NA,0,0,0,0,0,0,0,0,0
31,7,324,7,0,2,707,11,11,11,4,1
31,8,604,0,0,0,0,0,0,0,0,0
31,7,287,0,0,0,0,0,0,0,0,0
31,7,NA,0,0,0,0,0,0,0,0,0
31,8,65815,0,0,0,0,0,0,0,0,0
31,6,NA,65,53,14,8568,77,70,77,12,0
31,6,NA,9,3,7,738,9,12,9,0,0
31,7,4075,4,3,2,432,4,6,4,0,0
31,8,287,5,0,1,593,9,9,9,4,0
31,7,NA,28,13,13,2773,32,32,32,4,0
31,7,5132,27,0,3,2743,33,33,33,6,0
31,6,324,23,1,4,2262,29,28,29,6,0
31,6,324,18,14,3,2201,22,23,22,4,0
31,6,NA,23,17,3,3981,29,27,29,6,0
31,8,324,103,0,3,7073,105,113,105,2,0
31,6,NA,13,8,8,1355,16,16,16,2,0
31,7,NA,57,45,12,8136,69,64,69,12,0
31,7,22004,0,0,0,0,0,0,0,0,0
31,6,NA,0,0,0,0,0,0,0,0,0
31,7,345,0,0,0,0,0,0,0,0,0
32,11,643,22,1,5,2783,30,26,30,8,1
32,9,637,14,1,4,1457,20,16,20,6,1
32,8,NA,0,0,0,0,0,0,0,0,0
32,6,34,0,0,0,0,0,0,0,0,0
32,8,NA,0,0,0,0,0,0,0,0,0
32,9,420762,17,5,8,1314,19,26,19,2,0
32,8,1399,0,0,0,0,0,0,0,0,0
32,6,NA,0,0,0,0,0,0,0,0,0
32,7,NA,0,0,0,0,0,0,0,0,0
32,7,NA,14,10,2,2000,20,20,20,6,0
32,7,NA,49,42,5,7613,61,52,61,12,0
32,8,NA,24,0,4,2176,28,29,28,4,0
32,6,NA,4,3,2,432,4,5,4,0,0
32,8,328,5,3,2,474,5,7,5,0,0
32,7,NA,94,0,4,11902,102,121,102,8,0
32,8,324,11,10,6,798,11,15,11,0,0
32,6,199,6,3,4,564,6,7,6,0,0
32,8,334,8,1,4,816,10,13,10,2,0
32,7,287,71,0,3,10999,73,70,73,2,0
32,7,20212,43,26,14,4214,49,28,49,6,0
32,8,NA,36,0,2,3185,40,40,40,4,0
32,8,NA,24,2,4,1888,28,25,28,4,0
32,7,NA,7,0,3,734,11,12,11,4,0
32,7,11827,38,2,5,4607,42,35,42,4,0
32,8,1108,13,0,2,2065,17,16,17,4,0
32,7,324,0,0,0,0,0,0,0,0,0
33,11,646,13,1,5,1497,17,14,17,4,1
33,9,637,23,1,5,2851,31,26,31,8,1
33,9,640,18,1,5,2147,24,20,24,6,1
33,9,643,4,0,4,264,4,6,4,0,1
33,9,NA,14,1,8,1151,18,15,18,4,1
33,11,NA,8,0,2,1045,12,11,12,4,1
33,7,NA,0,0,0,0,0,0,0,0,0
33,8,NA,0,0,0,0,0,0,0,0,0
33,8,NA,0,0,0,0,0,0,0,0,0
33,6,NA,0,0,0,0,0,0,0,0,0
33,6,NA,0,0,0,0,0,0,0,0,0
33,6,19890,0,0,0,0,0,0,0,0,0
33,8,NA,0,0,0,0,0,0,0,0,0
33,9,18302,0,0,0,0,0,0,0,0,0
33,7,318,0,0,0,0,0,0,0,0,0
33,8,NA,52,7,8,3438,56,51,56,4,0
33,7,NA,4,3,2,420,4,5,4,0,0
33,6,NA,7,5,4,606,7,6,7,0,0
33,8,NA,32,11,6,3694,40,32,40,8,0
33,7,60722,4,2,3,408,4,6,4,0,0
33,6,NA,8,4,5,660,8,9,8,0,0
33,6,NA,5,4,2,486,5,7,5,0,0
33,8,NA,10,4,4,816,10,6,10,0,0
33,6,39,24,1,4,3375,28,30,28,4,0
33,8,1371,19,0,3,2042,27,27,27,8,0
33,7,NA,105,98,7,8692,111,130,111,6,0
33,6,NA,0,0,0,0,0,0,0,0,0
34,11,655,27,5,8,2721,35,27,35,8,1
34,11,649,15,1,5,1632,21,18,21,6,1
34,9,NA,26,0,3,3569,32,31,32,6,1
34,9,214,9,0,4,850,11,14,11,2,1
34,6,18298,0,0,0,0,0,0,0,0,0
34,7,324,0,0,0,0,0,0,0,0,0
34,7,1819,0,0,0,0,0,0,0,0,0
34,7,1819,33,27,2,5235,41,40,41,8,0
34,8,NA,0,0,0,0,0,0,0,0,0
34,6,NA,0,0,0,0,0,0,0,0,0
34,7,NA,0,0,0,0,0,0,0,0,0
34,7,NA,0,0,0,0,0,0,0,0,0
34,7,6474,6,3,4,552,6,9,6,0,0
34,7,NA,8,6,5,696,8,10,8,0,0
34,6,NA,34,9,9,2412,34,7,34,0,0
34,7,NA,3,3,1,366,3,5,3,0,0
34,9,1486,5,3,2,498,5,5,5,0,0
34,9,10892,3,3,1,366,3,4,3,0,0
34,9,NA,4,3,2,432,4,5,4,0,0
34,8,7255,17,1,2,1661,23,26,23,6,0
34,7,6608,42,0,3,4895,46,45,46,4,0
34,6,NA,34,25,9,3787,42,42,42,8,0
34,9,111,21,0,5,2292,23,24,23,2,0
34,6,NA,24,20,2,4372,31,33,31,6,0
34,8,996,7,0,2,716,11,10,11,4,0
34,7,1501,23,3,11,2042,29,29,29,6,0
34,7,NA,0,0,0,0,0,0,0,0,0
34,7,NA,0,0,0,0,0,0,0,0,0
34,6,324,0,0,0,0,0,0,0,0,0
35,9,7314,39,0,3,3240,45,45,45,6,1
35,9,7314,39,0,2,3240,45,45,45,6,1
35,11,NA,18,0,2,2102,20,21,20,2,1
35,11,652,15,1,5,1635,21,17,21,6,1
35,11,652,21,1,5,2367,29,26,29,8,1
35,9,646,12,1,5,1340,16,12,16,4,1
35,11,652,19,1,5,2223,25,20,25,6,1
35,11,652,18,1,5,2157,24,22,24,6,1
35,11,652,19,1,5,2223,25,22,25,6,1
35,11,652,23,1,5,2864,31,25,31,8,1
35,8,NA,15,1,2,1850,21,23,21,6,1
35,9,NA,0,0,0,0,0,0,0,0,0
35,8,4685,0,0,0,0,0,0,0,0,0
35,8,NA,0,0,0,0,0,0,0,0,0
35,6,324,22,15,8,1527,24,25,24,2,0
35,8,NA,21,1,4,2435,25,25,25,4,0
35,9,324,49,10,6,2961,53,61,53,4,0
35,9,39362,4,3,2,420,4,4,4,0,0
35,7,NA,3,3,1,366,3,4,3,0,0
35,9,NA,4,3,2,432,4,6,4,0,0
35,10,NA,10,9,4,756,10,12,10,0,0
35,7,14462,8,6,6,696,8,5,8,0,0
35,9,NA,4,4,2,432,4,6,4,0,0
35,8,NA,21,12,12,1446,21,24,21,0,0
35,7,289,5,4,3,474,5,6,5,0,0
35,6,324,23,8,5,3087,29,27,29,6,0
35,7,38115,45,3,7,3507,49,46,49,4,0
35,8,NA,37,0,3,3263,43,42,43,6,0
35,9,NA,12,2,6,1258,16,17,16,4,0
35,9,NA,44,40,6,6945,56,51,56,12,0
35,7,8813,41,6,4,4769,45,42,45,4,0
35,8,1002,32,5,8,2965,36,39,36,4,0
35,7,16875,0,0,0,0,0,0,0,0,0
35,8,NA,27,1,5,2771,31,33,31,4,0
35,7,330,16,9,8,1275,18,23,18,2,0
35,6,NA,0,0,0,0,0,0,0,0,0
35,8,1002,0,0,0,0,0,0,0,0,0
36,10,655,208,18,9,20074,228,216,228,20,1
36,11,655,7,1,5,466,11,10,11,4,1
36,11,655,17,1,7,1770,23,17,23,6,1
36,9,646,11,1,4,1266,15,12,15,4,1
36,11,655,21,1,5,2359,29,23,29,8,1
36,11,655,19,1,5,2227,27,23,27,8,1
36,8,NA,6,0,4,372,8,10,8,2,1
36,8,10133,0,0,0,0,0,0,0,0,0
36,8,324,0,0,0,0,0,0,0,0,0
36,7,NA,0,0,0,0,0,0,0,0,0
36,6,1108,0,0,0,0,0,0,0,0,0
36,7,324,0,0,0,0,0,0,0,0,0
36,7,NA,0,0,0,0,0,0,0,0,0
36,8,NA,18,2,8,1432,20,27,20,2,0
36,8,NA,14,10,6,1096,16,19,16,2,0
36,7,NA,3,3,1,366,3,4,3,0,0
36,8,NA,2,2,1,276,2,3,2,0,0
36,8,NA,5,3,3,498,5,7,5,0,0
36,8,NA,5,3,2,474,5,5,5,0,0
36,8,NA,18,2,6,1706,22,19,22,4,0
36,7,19879,61,7,6,6100,65,79,65,4,0
36,8,NA,85,73,9,7506,91,96,91,6,0
36,7,324,8,0,2,784,10,11,10,2,0
36,8,NA,22,8,4,2680,28,19,28,6,0
36,6,210,3,0,1,466,5,6,5,2,0
36,7,3326,14,7,5,1060,16,18,16,2,0
36,7,293,12,0,4,1331,16,13,16,4,0
36,7,231,7,0,2,730,9,11,9,2,0
36,7,11418,17,0,4,2319,21,21,21,4,0
36,8,NA,0,0,0,0,0,0,0,0,0
36,8,NA,0,0,0,0,0,0,0,0,0
36,7,11692,0,0,0,0,0,0,0,0,0
37,10,NA,49,0,1,3505,51,53,51,2,1
37,9,296,2,0,2,128,4,5,4,2,1
37,9,162,1,0,1,66,3,4,3,2,1
37,11,NA,44,2,10,5009,50,50,50,6,1
37,10,NA,12,0,2,1961,16,14,16,4,1
37,9,188,19,0,6,1525,21,13,21,2,1
37,7,NA,0,0,0,0,0,0,0,0,0
37,7,6062,0,0,0,0,0,0,0,0,0
37,7,219,0,0,0,0,0,0,0,0,0
37,9,1002,0,0,0,0,0,0,0,0,0
37,10,14109,0,0,0,0,0,0,0,0,0
37,8,324,0,0,0,0,0,0,0,0,0
37,9,NA,0,0,0,0,0,0,0,0,0
37,8,NA,0,0,0,0,0,0,0,0,0
37,9,8022,23,5,8,1674,23,11,23,0,0
37,9,32441,11,10,7,834,11,14,11,0,0
37,7,7891,6,5,2,540,6,8,6,0,0
37,8,NA,4,2,2,408,4,5,4,0,0
37,8,1840,8,5,5,648,8,11,8,0,0
37,8,12768,6,4,3,540,6,6,6,0,0
37,7,NA,4,0,3,268,6,6,6,2,0
37,9,NA,31,7,12,2531,37,35,37,6,0
37,7,NA,27,23,1,3355,33,35,33,6,0
37,8,NA,44,0,4,3767,48,48,48,4,0
37,8,4297,16,1,6,1607,22,18,22,6,0
37,9,NA,15,6,7,1283,17,15,17,2,0
37,9,NA,21,0,4,1643,23,31,23,2,0
37,8,135444,68,6,7,5207,70,88,70,2,0
37,9,616,18,5,10,2248,26,28,26,8,0
37,8,6944,0,0,0,0,0,0,0,0,0
37,8,1819,0,0,0,0,0,0,0,0,0
37,7,7783,0,0,0,0,0,0,0,0,0
38,10,337,14,4,6,888,14,5,14,0,1
38,11,661,22,1,5,2813,30,27,30,8,1
38,9,2516,15,0,2,2342,21,15,21,6,1
38,9,2516,19,1,3,2594,25,25,25,6,1
38,10,215,7,0,2,734,9,9,9,2,1
38,9,4397,0,0,0,0,0,0,0,0,0
38,8,1819,0,0,0,0,0,0,0,0,0
38,8,NA,18,0,1,1458,20,20,20,2,0
38,8,NA,0,0,0,0,0,0,0,0,0
38,8,39740,0,0,0,0,0,0,0,0,0
38,9,68067,19,0,3,1851,23,23,23,4,0
38,10,40299,0,0,0,0,0,0,0,0,0
38,9,NA,0,0,0,0,0,0,0,0,0
38,8,NA,0,0,0,0,0,0,0,0,0
38,9,NA,0,0,0,0,0,0,0,0,0
38,8,345,0,0,0,0,0,0,0,0,0
38,7,324,0,0,0,0,0,0,0,0,0
38,9,3916,0,0,0,0,0,0,0,0,0
38,8,1819,39,25,11,5509,47,45,47,8,0
38,7,34,7,7,3,618,7,9,7,0,0
38,8,NA,13,13,9,1002,13,16,13,0,0
38,7,1172,4,3,2,432,4,4,4,0,0
38,6,324,6,6,3,540,6,8,6,0,0
38,8,NA,3,2,2,330,3,5,3,0,0
38,7,24087,8,0,3,786,12,9,12,4,0
38,9,618,46,17,7,5306,54,42,54,8,0
38,8,6746,35,8,14,3072,41,31,41,6,0
38,8,324,23,7,7,1967,29,24,29,6,0
38,7,324,13,7,7,1068,15,13,15,2,0
38,6,9555,23,5,9,2823,27,21,27,4,0
38,6,NA,58,40,3,8165,66,77,66,8,0
38,8,1840,23,12,8,3099,27,28,27,4,0
38,10,4929,16,0,5,1927,20,20,20,4,0
38,8,12400,16,0,3,1879,22,20,22,6,0
38,9,42952,35,30,2,4047,41,53,41,6,0
38,7,NA,20,0,3,1578,24,24,24,4,0
38,7,NA,42,20,4,4268,50,40,50,8,0
38,9,NA,288,279,10,20749,294,431,294,6,0
38,8,NA,0,0,0,0,0,0,0,0,0
38,7,7868,44,0,4,5064,50,42,50,6,0
38,9,220,0,0,0,0,0,0,0,0,0
38,7,7797,0,0,0,0,0,0,0,0,0
38,9,NA,0,0,0,0,0,0,0,0,0
39,13,637,4,0,4,264,4,6,4,0,1
39,11,640,11,1,4,1266,15,12,15,4,1
39,11,640,26,5,8,2329,32,25,32,6,1
39,11,661,20,0,6,2328,26,26,26,6,1
39,9,2516,20,0,2,2976,26,23,26,6,1
39,10,216,8,0,1,809,12,11,12,4,1
39,8,NA,0,0,0,0,0,0,0,0,0
39,7,256306,0,0,0,0,0,0,0,0,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,9,NA,0,0,0,0,0,0,0,0,0
39,9,NA,0,0,0,0,0,0,0,0,0
39,9,NA,0,0,0,0,0,0,0,0,0
39,9,NA,0,0,0,0,0,0,0,0,0
39,9,NA,0,0,0,0,0,0,0,0,0
39,8,404,0,0,0,0,0,0,0,0,0
39,9,NA,0,0,0,0,0,0,0,0,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,7,7472,0,0,0,0,0,0,0,0,0
39,8,3063,0,0,0,0,0,0,0,0,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,6,NA,30,26,1,3521,36,37,36,6,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,7,12985,0,0,0,0,0,0,0,0,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,8,9352,0,0,0,0,0,0,0,0,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,7,NA,0,0,0,0,0,0,0,0,0
39,8,NA,61,52,4,7271,71,68,71,10,0
39,8,NA,0,0,0,0,0,0,0,0,0
39,10,NA,0,0,0,0,0,0,0,0,0
